PitchId,PAofInning,PitchofPA,Inning,Top_Bottom,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,MaxHeight,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,HitLaunchConfidence,HitLandingConfidence,GameUID,PlayId,PitchUID
30832293,1,4,5,Top,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,75.14741,38.07346,150.386,4878.293,NULL,NULL,NULL,NULL,50.07005,NULL,NULL,35.01607,0.48091,2.91808,0.21665,312.3317,0.48091,-75.4307,2.85835,0.76795,-0.3384,0.59865,-1.74279,2.55599,-1.35583,2.91808,67.96703,-27.34997,3.36618,-0.82017,0.77517,-1.93045,2.6547,-1.35559,0.21665,42.87497,-11.15972,2.18325,-0.57086,0.77334,-2.11021,2.93077,-1.50208,High,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,C233D358-87CD-45BA-B918-864C33AE8628,60401650-216D-11F0-8213-7D09D15F2485
30832347,5,1,6,Bottom,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,75.31639,41.87433,160.539,4513.953,NULL,NULL,NULL,NULL,50.94484,NULL,NULL,39.51712,0.45138,3.42658,0.01763,328.4278,0.45138,-77.55321,2.20938,1.09926,-0.80865,1.7027,-3.05643,2.94492,-1.12189,3.42658,73.73468,-30.32009,4.15979,-1.43662,2.06211,-3.58946,3.41846,-1.28361,0.01763,27.40377,-8.23339,1.51199,-0.56233,0.96511,-1.73596,1.65592,-0.62073,High,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,CF4898AA-DC24-4091-9BBE-9C02FE0F31F8,9E3C7A30-2171-11F0-8213-7D09D15F2485
30832454,4,2,9,Bottom,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,67.48231,35.70609,-147.8027,4444.145,NULL,NULL,NULL,NULL,50.48272,NULL,NULL,30.47555,0.24189,3.64728,0.36209,23.24855,0.24189,-68.00961,2.00959,0.81213,-0.0042,-1.30018,3.44992,-3.91716,1.65947,3.64728,57.76392,-27.78719,3.28032,-0.28914,-1.91949,4.85583,-5.32402,2.20399,0.36209,-42.82351,5.55775,-0.75895,0.01083,0.59553,-1.40842,1.51172,-0.61748,High,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,9D6C653E-9576-4921-8EF6-52E8E2619195,C6EC74F0-2179-11F0-8213-7D09D15F2485
30832266,2,1,4,Top,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,71.61112,37.39132,-156.181,4295.085,NULL,NULL,NULL,NULL,50.8479,NULL,NULL,32.27954,0.96616,2.92431,-0.23535,17.28738,0.96616,-76.33912,3.31803,1.02122,-0.27967,-0.26911,0.77939,-0.84959,0.36614,2.92431,63.77966,-30.78926,4.22726,-0.70636,-0.6197,1.6024,-1.7225,0.73976,-0.23535,-33.69983,5.17701,-0.79945,0.09141,0.18491,-0.41024,0.43564,-0.18662,High,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,EC2E35A2-CDE3-42F7-8EE9-4B6F6A98130E,FA6B4770-216A-11F0-8213-7D09D15F2485
30832228,5,2,2,Bottom,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,99.07307,39.83017,57.50433,5092.993,NULL,NULL,NULL,NULL,98.09301,NULL,NULL,81.78989,0.28648,3.61839,-0.04569,NULL,0.28648,59.95014,-22.88182,6.71984,-1.38685,0.15459,-0.33725,0.43983,-0.15483,3.61839,93.07032,-20.98863,1.32287,-0.30851,0.23676,0.08353,-0.24539,0.09626,-0.04569,94.11696,-16.63204,3.72771,-0.72194,0.1681,-0.12961,0.10236,-0.03069,High,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,36CF4C99-CEBF-44DD-91C9-7D60B6DEBDDF,CF4C5640-2167-11F0-8213-7D09D15F2485
30832335,1,3,6,Bottom,InPlay,NULL,Popup,NULL,Out,1,0,NULL,77.24557,83.64639,73.87293,NULL,NULL,NULL,NULL,NULL,3.08945,NULL,NULL,81.93252,NULL,NULL,NULL,NULL,3.09603,3.48253,-5.74098,2.48805,-0.78075,0.23032,-0.0732,0.02377,-0.00475,6.2468,112.5975,-34.10422,4.89278,-0.7891,0.11317,-0.05625,0.04068,-0.01173,-2.66019,12.04415,-15.54913,6.61602,-2.05855,0.60507,-0.19334,0.0636,-0.01282,Low,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,BC744348-6C87-418C-8C52-FC8E830E4EC6,B5A07150-2170-11F0-8213-7D09D15F2485
30832344,4,3,6,Bottom,FoulBallNotFieldable,NULL,NULL,LineDrive,NULL,0,0,NULL,67.97332,21.36006,-167.745,2839.266,-108.0541,12.50063,-20.59619,143.335,51.09968,-169.541,1.763126,17.37369,0.04992,3.26272,0.78379,10.79359,0.0499,-90.72861,6.10202,0.06044,-0.31632,0.46372,-0.34369,0.136,-0.02207,3.26272,36.31139,-25.16538,2.66453,-0.53766,0.11736,-0.02136,0.00427,-0.00051,0.78379,-19.70701,2.58368,0.00344,-0.12562,0.18976,-0.14122,0.05593,-0.00908,High,Low,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,E7C4898B-7567-452D-80AF-0A5D5D6CABCB,4E8A1A60-2171-11F0-8213-7D09D15F2485
30832379,4,2,7,Bottom,FoulBallNotFieldable,NULL,NULL,LineDrive,NULL,0,0,NULL,73.79983,19.50174,-165.3305,1660.501,-106.4521,16.86762,-27.70968,166.5422,50.26542,-165.515,1.892423,18.75065,0.0285,3.65917,0.06787,359.31,0.02848,-98.70235,8.04805,-0.70155,0.00292,0.22473,-0.18304,0.07044,-0.01073,3.6592,36.1309,-23.15582,1.91313,-0.02359,-0.19502,0.09677,-0.01957,0.00134,0.06787,-25.83873,2.06752,-0.13341,0.08642,-0.00695,-0.02428,0.01506,-0.0028,High,Low,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,B0C9EDAF-57CA-494C-8C7A-C6836ECB9212,1DEA1B50-2174-11F0-8213-7D09D15F2485
30832169,1,4,1,Top,InPlay,NULL,LineDrive,LineDrive,Double,0,0,NULL,108.408,8.558163,-29.07389,2863.748,92.31562,10.08431,-59.81435,194.1905,194.1905,-35.82458,1.496349,10.24843,0.78928,2.51123,-0.16265,95.87938,0.78928,137.416,-29.51202,6.94262,-1.59331,0.31804,-0.05988,0.00906,-0.00075,2.51123,23.66103,-19.2023,1.8336,-0.25392,0.02819,0.00046,-0.00057,5.00E-05,-0.16265,-76.4028,-2.70405,3.43141,-1.37969,0.4339,-0.1121,0.02128,-0.00207,High,Medium,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,4BE0B78D-43C1-4D33-807E-CFFC1B6C09A0,574CDF60-2163-11F0-8213-7D09D15F2485
30832211,5,1,2,Top,FoulBallNotFieldable,NULL,NULL,NULL,NULL,0,0,NULL,72.61349,69.56686,-81.46613,2623.17,NULL,NULL,NULL,NULL,41.8029,NULL,NULL,74.57029,2.36789,2.5196,-0.7534,154.6929,2.36789,5.51736,-6.98289,2.79374,-0.80897,0.2045,-0.04434,0.00753,-0.00086,2.5196,99.79865,-34.93091,5.52276,-1.09376,0.16545,-0.01091,-0.00165,-0.00029,-0.7534,-36.76888,-4.27934,3.45066,-1.22315,0.35875,-0.08865,0.01572,-0.00118,Low,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,21346421-91E9-4F95-B7A5-8ED2F87D1776,7E77DA10-2166-11F0-8213-7D09D15F2485
