PitchId,GameId,PitcherId,Pitcher,PitcherThrows,PitcherSet,PitcherTeam,BatterId,Batter,BatterSide,BatterTeam,HomeTeam,AwayTeam,Stadium,Level,League,UTCDate,UTCTime,Date,Time,PitchNo,PAofInning,PitchofPA,HomeTeamForeignId,AwayTeamForeignId,GameForeignId,Inning,Top_Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,GameUID,PlayId,PitchUID
30832166,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,690971,"Davis, Chase",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,36:25.0,4/24/2025,18:36:25,1,1,1,3898,440,781822,1,Top,0,0,0,Fastball,Sinker,BallCalled,NULL,0,0,94.40472,-0.029917,-3.440106,2314.151,230.6027,1:45,5.24637,2.0466,5.74625,-16.46399,15.00587,17.09072,3.84647,0.26417,86.29264,-3.142268,-0.387834,0.403756,-9.62654,7.94087,-1.77111,50,5.23389,7.45835,-136.9807,-0.61149,-18.35674,29.23436,-17.03174,"Cardenas, Noah",681433,Right,WIC_SUR,93.35455,8.11208,NULL,NULL,NULL,54.75318,-137.9914,14.61718,5.24485,-0.02267,-8.51587,-2.03992,8.09299,-9.17837,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,00EC9F1A-C72F-4CA3-95E6-E16DD8872781,3DBB7660-2163-11F0-8213-7D09D15F2485
30832167,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,690971,"Davis, Chase",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,36:39.0,4/24/2025,18:36:39,2,1,2,3898,440,781822,1,Top,0,1,0,Fastball,Sinker,StrikeSwinging,NULL,0,0,95.55562,-0.64505,-2.908436,2401.891,228.1711,1:30,5.31678,2.16364,5.97666,-14.67871,15.68084,16.4991,3.49479,0.84014,87.59046,-3.439505,0.053389,0.396569,-9.26713,8.51315,-1.94278,50,5.25754,6.32319,-138.7955,-2.0195,-18.1739,29.51542,-15.47876,"Cardenas, Noah",681433,Right,WIC_SUR,95.04628,7.96516,NULL,NULL,NULL,54.52345,-139.7542,14.75771,5.31496,-1.51677,-7.73938,-2.15773,6.91345,-9.08695,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,7C054433-3659-4A00-A844-1D7C15F2316B,45CAC180-2163-11F0-8213-7D09D15F2485
30832168,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,690971,"Davis, Chase",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,36:53.0,4/24/2025,18:36:53,3,1,3,3898,440,781822,1,Top,0,1,1,Fastball,Sinker,BallCalled,NULL,0,0,95.94383,-1.053384,-4.69218,2425.384,228.5945,1:30,5.31518,1.88881,5.76422,-14.8317,15.7308,16.74851,3.09541,-1.0923,87.62694,-3.869052,-1.707294,0.397892,-9.83394,8.59717,-1.51011,50,5.21882,10.64408,-138.9823,-3.04385,-19.29258,30.2721,-15.30786,"Cardenas, Noah",681433,Right,WIC_SUR,94.73022,8.31689,NULL,NULL,NULL,54.73572,-140.01,15.13605,5.31334,-2.52416,-7.65393,-1.88258,11.29904,-9.64629,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,5A885AC8-2B1E-4005-9BDF-DF7696D1EFB0,4E511160-2163-11F0-8213-7D09D15F2485
30832169,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,690971,"Davis, Chase",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,37:08.0,4/24/2025,18:37:08,4,1,4,3898,440,781822,1,Top,0,2,1,Fastball,Sinker,InPlay,Walk,0,0,95.36636,-0.9855,-3.367874,2406.674,239.9144,2:00,5.22668,1.95709,5.95418,-18.93651,11.56863,18.3919,2.73303,0.36282,87.5686,-4.537928,-0.068504,0.397519,-10.36973,6.47819,-1.69977,50,5.13757,7.34252,-138.4738,-3.03053,-20.26017,29.11488,-19.51705,"Cardenas, Noah",681433,Right,WIC_SUR,94.81925,7.79776,NULL,NULL,NULL,54.54668,-139.4265,14.55744,5.22628,-2.3919,-9.75852,-1.95088,8.00546,-10.13009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,4BE0B78D-43C1-4D33-807E-CFFC1B6C09A0,574CDF60-2163-11F0-8213-7D09D15F2485
30832170,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,692405,"Rivas, Jeremy",Right,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,37:52.0,4/24/2025,18:37:52,5,2,1,3898,440,781822,1,Top,0,0,0,Slider,Slider,BallCalled,NULL,0,0,87.08973,0.939813,-3.400372,2319.967,170.9325,11:45,4.99801,2.10083,6.10572,-34.20923,2.94457,-0.25957,3.01794,-1.06897,78.57895,-5.436536,-3.447003,0.438705,-0.96866,1.61236,-1.83923,50,5.0527,7.50733,-126.1704,0.9396,-1.53694,29.43097,-29.6158,"Cardenas, Noah",681433,Right,WIC_SUR,85.91745,8.51078,NULL,NULL,NULL,54.39053,-127.1904,14.71548,5.00235,1.96603,-14.8079,-2.10034,7.5606,-0.76847,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,35B1D790-70F1-4959-924D-C292EA4D3593,71A8EB60-2163-11F0-8213-7D09D15F2485
30832171,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,692405,"Rivas, Jeremy",Right,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,38:13.0,4/24/2025,18:38:13,6,2,2,3898,440,781822,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,NULL,0,0,93.27361,-1.134455,-2.647019,2393.744,221.6891,1:30,5.22712,2.01872,5.85657,-18.07777,14.37922,11.81016,2.66537,0.54183,84.46463,-4.562586,-0.531061,0.410039,-6.85819,8.02689,-1.81078,50,5.12455,5.72891,-135.2531,-3.26168,-12.58762,32.02398,-17.44134,"Cardenas, Noah",681433,Right,WIC_SUR,91.92397,8.80898,NULL,NULL,NULL,54.64109,-136.3475,16.01199,5.22584,-2.6656,-8.72067,-2.01392,6.1591,-6.29381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,B729CED2-5227-44BD-81F8-9005A5073D64,7DF12540-2163-11F0-8213-7D09D15F2485
30832172,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,692405,"Rivas, Jeremy",Right,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,38:32.0,4/24/2025,18:38:32,7,2,3,3898,440,781822,1,Top,0,1,1,Slider,Slider,BallCalled,NULL,0,0,87.00444,0.606836,-3.639878,2523.036,118.0882,10:00,5.03603,1.99331,5.93501,-34.60313,2.49047,-2.43378,2.71657,-1.59085,79.39462,-5.789525,-4.075488,0.43835,0.1848,1.46839,-1.70116,50,5.06514,8.1237,-126.1294,0.15481,0.29634,26.74905,-29.8194,"Cardenas, Noah",681433,Right,WIC_SUR,85.98713,7.60982,NULL,NULL,NULL,54.56282,-127.0934,13.37453,5.0402,1.22945,-14.9097,-1.99373,8.11302,0.14817,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,E9D9B16F-5AA0-48B5-A13E-8494869B444E,897F5DF0-2163-11F0-8213-7D09D15F2485
30832173,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,692405,"Rivas, Jeremy",Right,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,38:53.0,4/24/2025,18:38:53,8,2,4,3898,440,781822,1,Top,0,2,1,Fastball,Sinker,InPlay,NULL,1,0,94.91691,-0.901026,-3.188701,2363.258,237.9073,2:00,5.25987,1.98722,5.89747,-19.39749,12.06162,17.42824,2.80555,0.47619,85.51601,-4.572734,-0.064841,0.403687,-9.92819,6.78489,-1.74049,50,5.1763,6.86866,-137.5373,-2.81442,-18.75126,34.49096,-19.35953,"Cardenas, Noah",681433,Right,WIC_SUR,93.37054,9.40091,NULL,NULL,NULL,54.59987,-138.6861,17.24548,5.25929,-2.16964,-9.67977,-1.97965,7.49318,-9.37563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,1BD42150-7524-4948-A1E9-E4E596C5848C,95A9AF90-2163-11F0-8213-7D09D15F2485
30832174,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,699024,"Bernal, Leonardo",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,39:36.0,4/24/2025,18:39:36,9,3,1,3898,440,781822,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,NULL,0,0,95.86879,-0.632639,-3.233985,2392.67,225.0212,1:30,5.31671,1.87534,5.78732,-14.46139,16.4045,15.33702,3.52209,0.14165,86.54002,-3.408784,-0.492118,0.399862,-8.84524,8.87949,-1.6182,50,5.25609,7.14542,-138.9428,-1.98387,-17.10749,34.21642,-15.00035,"Cardenas, Noah",681433,Right,WIC_SUR,94.26351,9.32877,NULL,NULL,NULL,54.71077,-140.0981,17.10821,5.31452,-1.4774,-7.50018,-1.86921,7.72304,-8.55374,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,F9A4D776-16D7-4B64-BB3C-7051013EDA37,AF5EA620-2163-11F0-8213-7D09D15F2485
30832175,20250424-NewWichitaBallpark-1,694536,"Baker, Trent",Right,NULL,WIC_SUR,699024,"Bernal, Leonardo",Left,SPR_CAR,WIC_SUR,SPR_CAR,NewWichitaBallpark,AA,TEX,4/24/2025,39:50.0,4/24/2025,18:39:50,10,3,2,3898,440,781822,1,Top,1,0,1,Fastball,Sinker,BallCalled,NULL,0,0,96.33809,-0.197804,-2.222533,2393.61,233.9235,1:45,5.24203,2.03599,6.005,-19.01214,11.61981,14.33891,3.47428,1.17069,86.04609,-3.821391,0.354984,0.398344,-8.06512,6.36209,-1.86876,50,5.21625,4.74394,-139.5839,-1.10836,-15.54981,38.08355,-19.90771,"Cardenas, Noah",681433,Right,WIC_SUR,94.62278,10.292,NULL,NULL,NULL,54.48929,-140.8034,19.04177,5.24153,-0.47087,-9.95386,-2.02864,5.24188,-7.77491,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,High,High,High,NULL,NULL,NULL,0D4ADE24-F8F9-426B-9A53-397525FC4BD8,6994BF04-62A9-4EF0-ABFD-9B3DA6AF3F91,B7C9CCE0-2163-11F0-8213-7D09D15F2485
